Name,Revision_nb,Status
Bropair-spiromax,4,Withdrawn
Jetrea,15,Withdrawn
Zostavax,33,Withdrawn
Beqvez,3,Withdrawn
Arsenic-trioxide-mylan,6,Withdrawn
Extavia,26,Withdrawn
Alofisel,12,Withdrawn
Regkirona,9,Withdrawn
Mycapssa,0,Withdrawn
Riarify,7,Withdrawn
Penbraya,0,Withdrawn
Gavreto,8,Withdrawn
Prehevbri,3,Withdrawn
Bamlanivimab-etesevimab-covid-19,0,Withdrawn from rolling review
Jcovden,33,Withdrawn
Pemetrexed-sandoz,9,Withdrawn
Onbevzi,5,Withdrawn
Memantine-lek,5,Withdrawn
Ciambra,7,Withdrawn
Gefitinib-mylan,7,Withdrawn
Viekirax,28,Withdrawn
Exviera,26,Withdrawn
Esmya,16,Withdrawn
Nyxthracis,3,Withdrawn
Vaxzevria,32,Withdrawn
Tremelimumab-astrazeneca,1,Withdrawn
Lymphoseek,8,Withdrawn
Tizveni,0,Withdrawn
Evicel,18,Withdrawn
Vidprevtyn-beta,4,Withdrawn
Pemetrexed-krka,6,Withdrawn
Sustiva,48,Withdrawn
Pramipexole-accord,10,Withdrawn
Apealea,7,Withdrawn
Ivozall,5,Withdrawn
Covid-19-vaccine-inactivated-adjuvanted-valneva,6,Withdrawn
Zynrelef,3,Withdrawn
Rebetol,39,Withdrawn
Imatinib-koanaa,0,Withdrawn
Pregabalin-sandoz-gmbh,16,Withdrawn
Invirase,50,Withdrawn
Pandemic-influenza-vaccine-h5n1-baxter-ag,8,Withdrawn
Busilvex,19,Withdrawn
Lenalidomide-krka-dd,2,Withdrawn
Nitisinone-mdk,6,Withdrawn
Pioglitazone-teva,12,Withdrawn
Neurobloc,33,Withdrawn
Inpremzia,0,Withdrawn
Depocyte,15,Withdrawn
Dasatinib-accord,1,Withdrawn
Dasatinib-accordpharma,1,Withdrawn
Lamivudine-zidovudine-teva,16,Withdrawn
Nevirapine-teva,11,Withdrawn
Pregabalin-zentiva-ks,13,Withdrawn
Temozolomide-sandoz,17,Withdrawn
Hepsera,27,Withdrawn
Temozolomide-hexal,17,Withdrawn
Trogarzo,7,Withdrawn
Introna,34,Withdrawn
Macugen,15,Withdrawn
Zynteglo,5,Withdrawn
Glubrava,19,Withdrawn
Glidipion,8,Withdrawn
Glustin,28,Withdrawn
Zalviso,7,Withdrawn
Pioglitazone-teva-pharma,13,Withdrawn
Zynquista,3,Withdrawn
Thymanax,24,Withdrawn
Episalvan,7,Withdrawn
