2025-06-27 10:03:56.314 | SUCCESS  | adapters.download_file:download_index:36 - Download succesful from https://www.ema.europa.eu/en/documents/report/medicines-output-medicines-report_en.xlsx
2025-06-27 10:03:56.982 | SUCCESS  | core.manipulate_df:simplify_dataframe:128 - Successfully simplified the Excel file for authorised medicines.
2025-06-27 10:03:56.988 | SUCCESS  | core.manipulate_df:simplify_dataframe:147 - Successfully archived and saved the new simplified file.
2025-06-27 10:03:56.988 | INFO     | __main__:<module>:28 - Authorised medicines DataFrame successfully simplified.
2025-06-27 10:03:56.990 | WARNING  | core.manipulate_df:clean_name_withdrawn:86 - The name Pemetrexed-pfizer is identical for both authorised and withdrawn medicines.
2025-06-27 10:03:56.991 | WARNING  | core.manipulate_df:clean_name_withdrawn:86 - The name Vantobra is identical for both authorised and withdrawn medicines.
2025-06-27 10:03:56.991 | WARNING  | core.manipulate_df:clean_name_withdrawn:86 - The name Fluenz is identical for both authorised and withdrawn medicines.
2025-06-27 10:03:56.991 | WARNING  | core.manipulate_df:clean_name_withdrawn:86 - The name Clopidogrel-ratiopharm is identical for both authorised and withdrawn medicines.
2025-06-27 10:03:56.993 | WARNING  | core.manipulate_df:clean_name_withdrawn:86 - The name Liprolog is identical for both authorised and withdrawn medicines.
2025-06-27 10:03:56.994 | SUCCESS  | core.manipulate_df:simplify_dataframe:138 - Successfully simplified the Excel file for withdrawn medicines.
2025-06-27 10:03:56.995 | SUCCESS  | core.manipulate_df:simplify_dataframe:147 - Successfully archived and saved the new simplified file.
2025-06-27 10:03:56.996 | INFO     | __main__:<module>:37 - Withdrawn medicines DataFrame successfully simplified.
2025-06-27 10:03:56.996 | ERROR    | core.update_rcp:rename_update_rcp:19 - No file from the previous day found, nothing to compare.
2025-06-27 10:03:57.013 | INFO     | adapters.download_file:retry_failed_downloads:150 - No failed_urls.csv file found. No downloads to retry.
2025-06-27 10:03:57.029 | INFO     | core.update_rcp:update_rcp:86 - No RCP update was performed.
2025-06-27 10:03:57.029 | INFO     | __main__:<module>:54 - Downloading authorised RCP files...
2025-06-27 10:03:57.038 | INFO     | adapters.download_file:download_pdf:92 - Downloading 1/1477 : Kymriah
2025-06-27 10:03:57.041 | INFO     | adapters.download_file:download_pdf:92 - Downloading 2/1477 : Veklury
2025-06-27 10:03:57.041 | INFO     | adapters.download_file:download_pdf:92 - Downloading 3/1477 : Pavblu
2025-06-27 10:03:57.041 | INFO     | adapters.download_file:download_pdf:92 - Downloading 4/1477 : Phesgo
2025-06-27 10:03:57.042 | INFO     | adapters.download_file:download_pdf:92 - Downloading 5/1477 : Januvia
2025-06-27 10:03:57.220 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Kymriah
2025-06-27 10:03:57.222 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Januvia
2025-06-27 10:03:57.223 | INFO     | adapters.download_file:download_pdf:92 - Downloading 6/1477 : Miglustat-dipharma
2025-06-27 10:03:57.224 | INFO     | adapters.download_file:download_pdf:92 - Downloading 7/1477 : Mounjaro
2025-06-27 10:03:57.238 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Veklury
2025-06-27 10:03:57.239 | INFO     | adapters.download_file:download_pdf:92 - Downloading 8/1477 : Sugammadex-amomed
2025-06-27 10:03:57.287 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Sugammadex-amomed. Retrying...(1/5)
2025-06-27 10:03:57.308 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Miglustat-dipharma
2025-06-27 10:03:57.309 | INFO     | adapters.download_file:download_pdf:92 - Downloading 9/1477 : Caprelsa
2025-06-27 10:03:57.339 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Phesgo
2025-06-27 10:03:57.340 | INFO     | adapters.download_file:download_pdf:92 - Downloading 10/1477 : Foclivia
2025-06-27 10:03:57.354 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Caprelsa. Retrying...(1/5)
2025-06-27 10:03:57.613 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Mounjaro
2025-06-27 10:03:57.614 | INFO     | adapters.download_file:download_pdf:92 - Downloading 11/1477 : Beyonttra
