2025-06-27 13:00:53.075 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Hetlioz
2025-06-27 13:00:53.085 | INFO     | adapters.download_file:download_pdf:92 - Downloading 617/638 : Dasselta
2025-06-27 13:00:53.122 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Dasselta. Retrying...(1/5)
2025-06-27 13:00:58.969 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Dasselta
2025-06-27 13:00:58.970 | INFO     | adapters.download_file:download_pdf:92 - Downloading 618/638 : Amifampridine-serb
2025-06-27 13:00:59.036 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Amifampridine-serb. Retrying...(1/5)
2025-06-27 13:01:00.090 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Ibandronic-acid-sandoz. Retrying...(4/5)
2025-06-27 13:01:00.455 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Ganirelix-gedeon-richter. Retrying...(4/5)
2025-06-27 13:01:02.238 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Elmiron. Retrying...(5/5)
2025-06-27 13:01:03.162 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Bronchitol. Retrying...(2/5)
2025-06-27 13:01:04.517 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Ganirelix-gedeon-richter. Retrying...(5/5)
2025-06-27 13:01:05.525 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Ganirelix-gedeon-richter
2025-06-27 13:01:05.531 | INFO     | adapters.download_file:download_pdf:92 - Downloading 619/638 : Desloratadine-teva
2025-06-27 13:01:05.569 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Desloratadine-teva. Retrying...(1/5)
2025-06-27 13:01:08.144 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Ibandronic-acid-sandoz. Retrying...(5/5)
2025-06-27 13:01:08.208 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Bronchitol. Retrying...(3/5)
2025-06-27 13:01:08.245 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Elmiron
2025-06-27 13:01:08.249 | INFO     | adapters.download_file:download_pdf:92 - Downloading 620/638 : Dukoral
2025-06-27 13:01:08.292 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Dukoral. Retrying...(1/5)
2025-06-27 13:01:09.090 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Amifampridine-serb. Retrying...(2/5)
2025-06-27 13:01:11.154 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Ibandronic-acid-sandoz
2025-06-27 13:01:11.160 | INFO     | adapters.download_file:download_pdf:92 - Downloading 621/638 : Stimufend
2025-06-27 13:01:11.201 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Stimufend. Retrying...(1/5)
2025-06-27 13:01:15.619 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Desloratadine-teva. Retrying...(2/5)
2025-06-27 13:01:18.810 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Desloratadine-teva
2025-06-27 13:01:18.811 | INFO     | adapters.download_file:download_pdf:92 - Downloading 622/638 : Temomedac
2025-06-27 13:01:18.852 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Temomedac. Retrying...(1/5)
2025-06-27 13:01:20.269 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Bronchitol. Retrying...(4/5)
2025-06-27 13:01:21.144 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Amifampridine-serb. Retrying...(3/5)
2025-06-27 13:01:21.270 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Stimufend. Retrying...(2/5)
2025-06-27 13:01:21.904 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Temomedac. Retrying...(2/5)
2025-06-27 13:01:22.317 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Bronchitol. Retrying...(5/5)
2025-06-27 13:01:23.342 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Dukoral. Retrying...(2/5)
2025-06-27 13:01:24.400 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Dukoral. Retrying...(3/5)
2025-06-27 13:01:25.333 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Bronchitol
2025-06-27 13:01:25.340 | INFO     | adapters.download_file:download_pdf:92 - Downloading 623/638 : Integrilin
2025-06-27 13:01:25.378 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Integrilin. Retrying...(1/5)
2025-06-27 13:01:26.951 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Temomedac. Retrying...(3/5)
2025-06-27 13:01:30.000 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Temomedac. Retrying...(4/5)
2025-06-27 13:01:32.049 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Amifampridine-serb
2025-06-27 13:01:32.050 | INFO     | adapters.download_file:download_pdf:92 - Downloading 624/638 : Tractocile
2025-06-27 13:01:32.058 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Temomedac. Retrying...(5/5)
2025-06-27 13:01:32.087 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Tractocile. Retrying...(1/5)
2025-06-27 13:01:32.316 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Stimufend. Retrying...(3/5)
2025-06-27 13:01:34.448 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Dukoral. Retrying...(4/5)
2025-06-27 13:01:37.495 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Dukoral. Retrying...(5/5)
2025-06-27 13:01:39.431 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Integrilin. Retrying...(2/5)
2025-06-27 13:01:41.144 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Tractocile. Retrying...(2/5)
2025-06-27 13:01:41.367 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Stimufend. Retrying...(4/5)
2025-06-27 13:01:44.504 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Dukoral
2025-06-27 13:01:44.511 | INFO     | adapters.download_file:download_pdf:92 - Downloading 625/638 : Marixino
2025-06-27 13:01:44.548 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Marixino. Retrying...(1/5)
2025-06-27 13:01:45.074 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Temomedac
2025-06-27 13:01:45.083 | INFO     | adapters.download_file:download_pdf:92 - Downloading 626/638 : Grastofil
2025-06-27 13:01:45.136 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Grastofil. Retrying...(1/5)
2025-06-27 13:01:45.423 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Stimufend. Retrying...(5/5)
2025-06-27 13:01:45.483 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Integrilin. Retrying...(3/5)
2025-06-27 13:01:47.199 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Tractocile. Retrying...(3/5)
2025-06-27 13:01:51.528 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Integrilin. Retrying...(4/5)
2025-06-27 13:01:55.263 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Tractocile. Retrying...(4/5)
2025-06-27 13:01:57.276 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Grastofil. Retrying...(2/5)
2025-06-27 13:01:57.309 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Tractocile. Retrying...(5/5)
2025-06-27 13:01:59.438 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Stimufend
2025-06-27 13:01:59.441 | INFO     | adapters.download_file:download_pdf:92 - Downloading 627/638 : Tovanor-breezhaler
2025-06-27 13:01:59.478 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Tovanor-breezhaler. Retrying...(1/5)
2025-06-27 13:01:59.839 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Marixino
2025-06-27 13:01:59.841 | INFO     | adapters.download_file:download_pdf:92 - Downloading 628/638 : Fiasp
2025-06-27 13:01:59.878 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Fiasp. Retrying...(1/5)
2025-06-27 13:02:00.584 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Integrilin. Retrying...(5/5)
